Store,Year,Month,total_sales,moving_avg_3m
1,2010,2,6307344.1,6307344.1
1,2010,3,5871293.98,6089319.04
1,2010,4,7422801.92,6533813.33
1,2010,5,5929938.64,6408011.51
1,2010,6,6084081.46,6478940.67
1,2010,7,7244483.04,6419501.05
1,2010,8,6075952.95,6468172.48
1,2010,9,5829793.92,6383409.97
1,2010,10,7150641.75,6352129.54
1,2010,11,6485547.06,6488660.91
1,2010,12,8876953.18,7504380.66
1,2011,1,5480050.97,6947517.07
1,2011,2,6399887.57,6918963.91
1,2011,3,6307375.48,6062438.01
1,2011,4,7689123.6,6798795.55
1,2011,5,6128431.8,6708310.29
1,2011,6,6194971.74,6670842.38
1,2011,7,7227654.31,6517019.28
1,2011,8,6144985.73,6522537.26
1,2011,9,7379542.34,6917394.13
1,2011,10,6072327.75,6532285.27
1,2011,11,6864972.83,6772280.97
1,2011,12,9032594.71,7323298.43
1,2012,1,5723690.52,7207086.02
1,2012,2,6798074.91,7184786.71
1,2012,3,8201997.4,6907920.94
1,2012,4,6511214.82,7170429.04
1,2012,5,6446962.46,7053391.56
1,2012,6,8020582.84,6992920.04
1,2012,7,6233946.67,6900497.32
1,2012,8,7897619.59,7384049.7
1,2012,9,6122381.52,6751315.93
1,2012,10,6245587.29,6755196.13
2,2010,2,8264347.77,8264347.77
2,2010,3,7677765.6,7971056.68
2,2010,4,9520276.09,8487463.15
2,2010,5,7777385.06,8325142.25
2,2010,6,8069642.74,8455767.96
2,2010,7,9316686.92,8387904.91
2,2010,8,7715686.75,8367338.8
2,2010,9,7262197.74,8098190.47
2,2010,10,9012420.11,7996768.2
2,2010,11,8471338.61,8248652.15
2,2010,12,12190116.8,9891291.84
2,2011,1,6949000.95,9203485.45
2,2011,2,8011783.74,9050300.5
2,2011,3,7529434.8,7496739.83
2,2011,4,9136076.69,8225765.08
2,2011,5,7162271.09,7942594.19
2,2011,6,7607607.16,7968651.65
2,2011,7,8929101.75,7899660.0
2,2011,8,7354707.02,7963805.31
2,2011,9,8568254.09,8284020.95
2,2011,10,7185412.12,7702791.08
2,2011,11,8397397.85,8050354.69
2,2011,12,11776834.16,9119881.38
2,2012,1,6916920.87,9030384.29
2,2012,2,8097113.78,8930289.6
2,2012,3,9514186.05,8176073.57
2,2012,4,7676382.55,8429227.46
2,2012,5,7755209.84,8315259.48
2,2012,6,9652012.49,8361201.63
2,2012,7,7449172.87,8285465.07
2,2012,8,9564712.06,8888632.47
2,2012,9,7289469.93,8101118.29
2,2012,10,7581514.93,8145232.31
3,2010,2,1711198.23,1711198.23
3,2010,3,1534680.59,1622939.41
3,2010,4,1895382.98,1713753.93
3,2010,5,1477534.2,1635865.92
3,2010,6,1473409.22,1615442.13
3,2010,7,1783914.22,1578285.88
3,2010,8,1456095.44,1571139.63
3,2010,9,1437426.45,1559145.37
3,2010,10,1796963.56,1563495.15
3,2010,11,1747923.75,1660771.25
3,2010,12,2430890.36,1991925.89
3,2011,1,1475045.38,1884619.83
3,2011,2,1699036.03,1868323.92
3,2011,3,1614630.99,1596237.47
3,2011,4,1884147.52,1732604.85
3,2011,5,1533308.53,1677362.35
3,2011,6,1575090.64,1664182.23
3,2011,7,1843561.95,1650653.71
3,2011,8,1536442.56,1651698.38
3,2011,9,1862692.56,1747565.69
3,2011,10,1556141.95,1651759.02
3,2011,11,1822971.63,1747268.71
3,2011,12,2413806.83,1930973.47
3,2012,1,1480953.54,1905910.67
3,2012,2,1792769.68,1895843.35
3,2012,3,2148086.5,1807269.91
3,2012,4,1753460.11,1898105.43
3,2012,5,1703712.98,1868419.86
3,2012,6,2163143.4,1873438.83
3,2012,7,1649972.35,1838942.91
3,2012,8,2028009.12,1947041.62
3,2012,9,1620024.0,1766001.82
3,2012,10,1684307.82,1777446.98
4,2010,2,8299040.36,8299040.36
4,2010,3,7525350.19,7912195.28
4,2010,4,9269170.71,8364520.42
4,2010,5,7637509.72,8144010.21
4,2010,6,7550298.11,8152326.18
4,2010,7,9237037.48,8141615.1
4,2010,8,7760274.34,8182536.64
4,2010,9,7512322.68,8169878.17
4,2010,10,9522604.02,8265067.01
4,2010,11,8900188.9,8645038.53
4,2010,12,12466674.3,10296489.07
4,2011,1,7428613.52,9598492.24
4,2011,2,8701523.58,9532270.47
4,2011,3,8203913.86,8111350.32
4,2011,4,10034555.89,8979997.78
4,2011,5,8068206.56,8768892.1
4,2011,6,8288884.07,8797215.51
4,2011,7,10193027.8,8850039.48
4,2011,8,8487108.44,8989673.44
4,2011,9,10208029.69,9629388.64
4,2011,10,8600688.22,9098608.78
4,2011,11,9732895.19,9513871.03
4,2011,12,13144846.51,10492809.97
4,2012,1,7923260.95,10267000.88
4,2012,2,9202336.89,10090148.12
4,2012,3,10804712.46,9310103.43
4,2012,4,8783910.07,9596986.47
4,2012,5,8685981.98,9424868.17
4,2012,6,10984471.62,9484787.89
4,2012,7,8548929.23,9406460.94
4,2012,8,10857845.15,10130415.33
4,2012,9,8390018.08,9265597.49
4,2012,10,8589722.81,9279195.35
5,2010,2,1202728.0,1202728.0
5,2010,3,1141138.68,1171933.34
5,2010,4,1553822.75,1299229.81
5,2010,5,1241824.97,1312262.13
5,2010,6,1243520.7,1346389.47
5,2010,7,1422175.5,1302507.06
5,2010,8,1165245.5,1276980.57
5,2010,9,1206021.31,1264480.77
5,2010,10,1417374.25,1262880.35
5,2010,11,1412885.08,1345426.88
5,2010,12,1829294.03,1553184.45
5,2011,1,1101385.7,1447854.94
5,2011,2,1292485.85,1407721.86
5,2011,3,1229041.93,1207637.83
5,2011,4,1565270.75,1362266.18
5,2011,5,1210598.71,1334970.46
5,2011,6,1241861.52,1339243.66
5,2011,7,1488829.34,1313763.19
5,2011,8,1221606.73,1317432.53
5,2011,9,1498625.82,1403020.63
5,2011,10,1208333.48,1309522.01
5,2011,11,1481403.37,1396120.89
5,2011,12,1931376.8,1540371.22
5,2012,1,1187031.43,1533270.53
5,2012,2,1351836.33,1490081.52
5,2012,3,1698513.07,1412460.28
5,2012,4,1409720.53,1486689.98
5,2012,5,1372987.35,1493740.32
5,2012,6,1683655.81,1488787.9
5,2012,7,1285450.55,1447364.57
5,2012,8,1610442.42,1526516.26
5,2012,9,1267898.02,1387930.33
5,2012,10,1301302.62,1393214.35
6,2010,2,6259010.24,6259010.24
6,2010,3,6325062.47,6292036.36
6,2010,4,7995878.23,6859983.65
6,2010,5,6320388.54,6880443.08
6,2010,6,6860962.56,7059076.44
6,2010,7,8127765.74,7103038.95
6,2010,8,6171593.19,7053440.5
6,2010,9,5519280.35,6606213.09
6,2010,10,6751407.94,6147427.16
6,2010,11,6787272.46,6352653.58
6,2010,12,9793698.97,7777459.79
6,2011,1,5204924.11,7261965.18
6,2011,2,5996637.31,6998420.13
6,2011,3,6120956.66,5774172.69
6,2011,4,7561276.62,6559623.53
6,2011,5,5864600.16,6515611.15
6,2011,6,6469666.17,6631847.65
6,2011,7,7941223.14,6758496.49
6,2011,8,6000529.4,6803806.24
